id,post_date,post_messsage,engagements
8831,2021/06/01 17:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co   tmokbuje,132.0
27692,2021/06/01 17:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co   tmokbuje,132.0
44553,2021/06/01 17:00:00,hoy miercoles de junio rubionatural conversara detuatu con amparo noguera no te lo pierdas despues de tele ,132.0
44551,2021/06/01 18:00:00,cristian garcia huidobro y los excesos era una forma de tapar las cosas ,124.0
27690,2021/06/01 18:00:00,"cristian garcia huidobro y los excesos   era una forma de tapar las cosas 
https   t co rxujkfk od",124.0
8829,2021/06/01 18:00:00,"cristian garcia huidobro y los excesos   era una forma de tapar las cosas 
https   t co rxujkfk od",124.0
8828,2021/06/01 20:00:00,"cristian garcia huidobro se refirio a los duros castigos de su padre
https   t co dqqvyy nsn",99.0
27689,2021/06/01 20:00:00,"cristian garcia huidobro se refirio a los duros castigos de su padre
https   t co dqqvyy nsn",99.0
44550,2021/06/01 20:00:00,cristian garcia huidobro se refirio a los duros castigos de su padre ,99.0
44549,2021/06/01 21:00:00,nos activamos por joven que arregla celulares y los regala ,79.0
27688,2021/06/01 21:00:00,nos activamos por joven que arregla celulares y los regala https   t co  mt w nveq,79.0
8827,2021/06/01 21:00:00,nos activamos por joven que arregla celulares y los regala https   t co  mt w nveq,79.0
8826,2021/06/01 22:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co mjvst jhe ,152.0
27687,2021/06/01 22:00:00,hoy miercoles   de junio  rubionatural conversara  detuatu con amparo noguera     no te lo pierdas  despues de  tele     https   t co mjvst jhe ,152.0
44548,2021/06/01 22:00:00,hoy miercoles de junio rubionatural conversara detuatu con amparo noguera no te lo pierdas despues de tele ,152.0
44558,2021/06/02 00:00:00,dante poli fue detenido por fiesta clandestina en departamento ,70.0
27697,2021/06/02 00:00:00,"dante poli fue detenido por fiesta clandestina en departamento
https   t co k zw iqdih",70.0
